"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.684401833E0,-5.631906554E-1,-7.808925806E-1,-1.014495424E0
4.704317833E0,-2.605147997E-1,-5.287568410E-1,-2.213504416E-1
4.724233833E0,-1.852345294E-1,-2.536168576E-1,8.432386637E-1
4.744149833E0,-4.126865405E-1,8.153518304E-2,1.935423703E0
4.764065833E0,-6.538757077E-1,4.530490661E-1,2.515618354E0
4.783981833E0,-1.139607713E-1,7.662320030E-1,2.197296519E0
4.803897833E0,1.712348333E-1,9.380746543E-1,2.191675590E0
4.823813833E0,-4.767465886E-1,9.208000790E-1,2.572567896E0
4.843729833E0,-1.082234833E0,9.369648528E-1,2.784390884E0
4.863645833E0,-1.268363109E0,9.527529198E-1,2.807594390E0
4.883561833E0,-1.206088508E0,1.093635953E0,2.545229239E0
4.903477833E0,-1.064124252E0,1.026393265E0,2.060319645E0
4.923393833E0,-8.987866277E-1,8.104076441E-1,1.061107088E0
4.943309833E0,-6.496320909E-1,6.474419432E-1,-8.998864889E-4
4.963225833E0,-8.829646468E-2,6.042279498E-1,-8.538607156E-1
4.983141833E0,2.377191371E-1,3.695772853E-1,-1.491891931E0
5.003057833E0,4.136451915E-1,3.007873513E-2,-2.083954090E0
5.022973833E0,3.790030700E-1,-2.442431679E-1,-2.493238721E0
5.042890833E0,3.654278818E-1,-1.172974849E-1,-2.485143251E0
5.062806833E0,3.668315059E-1,5.195039146E-2,-2.376068705E0
5.082722833E0,4.200174871E-1,6.144510023E-2,-2.342525568E0
5.102638833E0,3.526464531E-1,9.119697601E-2,-2.255207927E0
5.122554833E0,3.750415814E-1,3.207894335E-1,-2.067299466E0
5.142470833E0,5.356049538E-1,4.830991865E-1,-1.912092143E0
5.162386833E0,8.081963003E-1,5.409741595E-1,-1.579187352E0
5.182302833E0,8.946681413E-1,5.111586953E-1,-8.410558981E-1
5.202218833E0,7.788347992E-1,3.881454840E-1,-1.574023676E-1
5.222134833E0,8.835841593E-1,2.437428655E-1,4.991966808E-1
5.242050833E0,9.552911961E-1,7.452692963E-2,1.368338510E0
5.261966833E0,1.105115865E0,-1.745575867E-1,1.887753693E0
5.281882833E0,1.504356148E0,-5.517859536E-1,2.091003494E0
5.301798833E0,1.617127888E0,-6.503793651E-1,3.243577407E0
5.321714833E0,6.540803602E-1,-3.333549172E-1,3.925907713E0
5.341630833E0,-1.387088192E-1,-4.246049201E-1,3.259137433E0
5.361546833E0,-3.945958400E-1,-5.192678332E-1,2.610409321E0
5.381462833E0,-1.412277997E-1,-6.688784936E-1,2.061683800E0
5.401378833E0,-2.516372645E-1,-9.986791442E-1,1.324705417E0
5.421295833E0,-5.428198332E-1,-1.137793468E0,5.774207318E-1
5.441211833E0,-8.311320037E-1,-1.270971406E0,-2.639725506E-1
5.461127833E0,-1.086165623E0,-1.273475622E0,-9.785566825E-1
5.481043833E0,-1.124959268E0,-1.154856666E0,-1.612400706E0
5.500959833E0,-1.071239728E0,-1.074589233E0,-2.192979519E0
5.520875708E0,-1.095762658E0,-1.044998448E0,-2.619978874E0
5.540791708E0,-1.086393372E0,-1.115114019E0,-2.875008109E0
5.560707708E0,-1.161024309E0,-1.140847103E0,-2.973462356E0
5.580623708E0,-1.145529480E0,-1.081941083E0,-2.962408780E0
5.600539708E0,-9.419113049E-1,-9.702867461E-1,-2.875221532E0
5.620455708E0,-6.163023770E-1,-8.711016695E-1,-2.544978978E0
5.640371708E0,-1.808573037E-1,-7.812448023E-1,-2.029536978E0
5.660287708E0,1.195815535E-1,-7.038835810E-1,-1.573353585E0
5.680203708E0,3.078643826E-1,-6.232413409E-1,-1.161997286E0
5.700119708E0,4.522947022E-1,-3.755976516E-1,-4.006775290E-1
