"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.976382396E1,-7.189668655E0,4.764681244E1,-3.252790833E1
4.978374129E1,-7.168331146E0,4.795183563E1,-3.234301758E1
4.980365829E1,-6.912595749E0,4.789682007E1,-3.192395020E1
4.982357529E1,-6.648244858E0,4.832133102E1,-3.156906128E1
4.984349229E1,-5.954875946E0,4.860823822E1,-3.121032715E1
4.986340929E1,-5.806701660E0,4.909907913E1,-3.101289368E1
4.988332629E1,-6.376014709E0,4.920692825E1,-3.059494019E1
4.990324329E1,-5.971372604E0,4.918289185E1,-3.048736572E1
4.992316029E1,-6.384735107E0,4.907920837E1,-2.978601074E1
4.994307729E1,-6.898883820E0,4.914663696E1,-2.986048889E1
4.996299429E1,-7.489410400E0,4.892690659E1,-2.948959351E1
4.998291129E1,-7.665542603E0,4.875285721E1,-2.983766174E1
5.000282829E1,-7.981277466E0,4.859796143E1,-2.962554932E1
5.002274529E1,-8.377204895E0,4.882744980E1,-2.970095825E1
5.004266229E1,-8.760972977E0,4.873900604E1,-2.971974182E1
5.006257929E1,-9.472307205E0,4.889786530E1,-2.998316956E1
5.008249629E1,-9.650453568E0,4.841844177E1,-2.958685303E1
5.010241429E1,-1.001954651E1,4.847955322E1,-2.976876831E1
5.012233129E1,-1.019787216E1,4.810755157E1,-2.973402405E1
5.014224829E1,-1.078776932E1,4.799731827E1,-3.036845398E1
5.016216529E1,-1.074072456E1,4.792390823E1,-2.995008850E1
5.018208229E1,-1.093496895E1,4.779260254E1,-3.037788391E1
5.020199929E1,-1.129945564E1,4.768347931E1,-3.032585144E1
5.022191629E1,-1.122844696E1,4.738721466E1,-3.051239014E1
5.024183329E1,-1.151589584E1,4.751190948E1,-3.118869019E1
5.026175029E1,-1.141640091E1,4.744121170E1,-3.079377747E1
5.028166729E1,-1.129166412E1,4.699008560E1,-3.153712463E1
5.030158429E1,-1.132542610E1,4.691770554E1,-3.206782532E1
5.032150129E1,-1.109123039E1,4.642267609E1,-3.244786072E1
5.034141829E1,-1.118962669E1,4.608326340E1,-3.266188049E1
5.036133529E1,-1.119335556E1,4.574961853E1,-3.279809570E1
5.038125229E1,-1.064419365E1,4.539770508E1,-3.313221741E1
5.040117029E1,-1.042256355E1,4.499400711E1,-3.360678101E1
