"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.591966292E0,-6.784929335E-2,4.391392767E-1,3.053136468E-1
4.611883292E0,4.696477205E-2,5.863507390E-1,2.337812781E-1
4.631800292E0,2.869731188E-1,5.506110787E-1,1.563701332E-1
4.651717292E0,4.920022488E-1,5.361897945E-1,1.498925984E-1
4.671634292E0,5.807336569E-1,4.795703888E-1,1.711150110E-1
4.691551292E0,5.538142920E-1,2.969572544E-1,2.150072157E-1
4.711468292E0,1.692522019E-1,1.244091019E-1,1.884315014E-1
4.731385292E0,-4.809010029E-1,5.860486254E-2,1.692251265E-1
4.751305959E0,-6.577434540E-1,-1.957110763E-1,1.750036031E-1
4.771222958E0,-6.548761129E-1,-3.219739497E-1,1.246620789E-1
4.791138959E0,-6.333182454E-1,-5.891509652E-1,2.877932601E-2
4.811055958E0,-6.861330271E-1,-8.318904638E-1,-5.432546511E-2
4.830972958E0,-7.261894941E-1,-9.383987188E-1,-1.413007379E-1
4.850889958E0,-7.026074529E-1,-1.067332268E0,-3.095355034E-1
4.870806959E0,-6.071654558E-1,-1.098278165E0,-4.945493937E-1
4.890723959E0,-4.265218973E-1,-1.025646210E0,-5.308781266E-1
4.910640959E0,-3.007315993E-1,-8.596018553E-1,-5.146832466E-1
4.930557958E0,-2.469915748E-1,-6.502926350E-1,-5.712298155E-1
4.950474958E0,-2.232447416E-1,-4.275601804E-1,-6.926846504E-1
4.970391958E0,-2.161522359E-1,-1.926291287E-1,-8.130683303E-1
4.990308959E0,-2.353657931E-1,-1.916476712E-2,-8.894461393E-1
5.010224958E0,-2.068577260E-1,3.956991807E-2,-9.129858017E-1
5.030141959E0,-1.505248994E-1,5.574955046E-2,-8.959194422E-1
5.050058959E0,-8.922477067E-2,8.800456673E-2,-8.337928653E-1
5.069975959E0,-5.065155402E-2,1.708234996E-1,-7.552038431E-1
5.089892958E0,-8.967325091E-2,3.181272149E-1,-6.704780459E-1
5.109809958E0,-1.747547537E-1,4.532946646E-1,-6.024456024E-1
5.129726958E0,-2.734679580E-1,5.115981102E-1,-6.179888248E-1
5.149643959E0,-2.663823068E-1,5.417225957E-1,-6.324353814E-1
5.169560959E0,-2.023130804E-1,5.731277466E-1,-5.858351588E-1
5.189477959E0,-1.172324270E-1,6.224701405E-1,-5.030975342E-1
5.209394958E0,-1.244520098E-1,6.341837049E-1,-4.118967950E-1
5.229311958E0,-9.248222411E-2,4.646345675E-1,-3.278997838E-1
5.249228959E0,-4.982965440E-2,3.935703933E-1,-2.322814614E-1
5.269144958E0,7.123040408E-2,1.058087200E-1,-1.652255207E-1
5.289061958E0,1.049618721E-1,-5.865290388E-2,-1.192059591E-1
5.308978959E0,7.722302526E-2,-1.344951689E-1,-6.078356132E-2
5.328895959E0,-1.267333329E-2,-6.580652297E-2,3.809107095E-2
5.348812959E0,-2.433453798E-1,1.127391160E-1,1.328820735E-1
5.368729958E0,-4.494664371E-1,1.722473651E-1,2.414675653E-1
5.388646958E0,-6.510003209E-1,3.988790810E-1,3.972313404E-1
5.408563958E0,-5.892858505E-1,2.739861012E-1,5.689077973E-1
5.428480959E0,-4.498769641E-1,1.067542881E-1,7.139135599E-1
5.448397959E0,-3.014693856E-1,-3.323632479E-2,7.888450623E-1
5.468314958E0,-3.024851084E-1,6.611769646E-2,8.369430900E-1
5.488231958E0,-4.206895828E-1,2.790912688E-1,8.665727973E-1
5.508148958E0,-5.206816196E-1,4.472908676E-1,8.794471025E-1
5.528064958E0,-5.877549648E-1,4.560184479E-1,8.818221092E-1
5.547981958E0,-5.951018929E-1,3.905516565E-1,8.640874624E-1
5.567898958E0,-5.417648554E-1,2.590314746E-1,8.449394107E-1
5.587815959E0,-4.814226031E-1,1.323628873E-1,8.194155097E-1
5.607732959E0,-3.100679517E-1,1.217477918E-1,7.691757083E-1
5.627649959E0,-1.885569990E-1,1.753307730E-1,7.360365987E-1
5.647566958E0,-1.225953922E-1,2.670932412E-1,6.749859452E-1
5.667483958E0,-6.886228453E-3,3.968632817E-1,5.440594554E-1
5.687400959E0,1.968364269E-1,4.575816691E-1,3.578679562E-1
5.707317959E0,2.966303825E-1,4.352071583E-1,1.612520665E-1
5.727234959E0,2.610963285E-1,3.859979212E-1,-2.812453918E-2
5.747148917E0,2.302462906E-1,3.010869026E-1,-1.453685910E-1
5.767065917E0,2.791639566E-1,-3.693718836E-2,-2.575244904E-1
5.786981917E0,3.234961629E-2,-1.401486099E-1,-3.410812020E-1
5.806898917E0,-1.902433336E-1,-1.022265851E-1,-3.641391993E-1
5.826815917E0,-2.868559361E-1,-2.036673725E-1,-3.197433054E-1
5.846732917E0,-2.379477620E-1,-3.941871524E-1,-2.839277387E-1
5.866649917E0,-1.324439794E-1,-5.559507608E-1,-2.376707941E-1
5.886566917E0,-8.574290574E-2,-6.404529810E-1,-2.355446368E-1
5.906483917E0,-7.407010347E-2,-6.436417699E-1,-3.089036047E-1
5.926400917E0,-7.189665735E-2,-5.286346674E-1,-4.479935467E-1
5.946317917E0,-6.630399823E-2,-3.601129949E-1,-6.157114506E-1
5.966234917E0,-4.771193117E-2,-2.173909396E-1,-7.577599287E-1
5.986151917E0,6.313745864E-3,-1.244053841E-1,-8.579544425E-1
6.006068917E0,5.460190028E-2,-3.899230808E-2,-9.339248538E-1
6.025985917E0,7.280020416E-2,2.976510674E-2,-9.813723564E-1
6.045901917E0,1.041466519E-1,8.831109107E-2,-9.847671390E-1
6.065818917E0,1.556245536E-1,1.479560137E-1,-9.590603709E-1
6.085735917E0,2.126141638E-1,1.867127270E-1,-9.002622366E-1
6.105652917E0,2.067984939E-1,2.302238941E-1,-8.258605599E-1
6.125569917E0,2.170365900E-1,2.838229835E-1,-7.299011350E-1
6.145486917E0,2.950477600E-1,2.685252130E-1,-6.102629304E-1
6.165403917E0,3.578701317E-1,2.103133053E-1,-4.884179831E-1
6.185320917E0,4.184610248E-1,1.215636879E-1,-3.467577994E-1
6.205237917E0,4.531263709E-1,4.453485459E-2,-2.143669575E-1
6.225154917E0,4.504258335E-1,7.909465581E-2,-1.038314924E-1
6.245071917E0,4.227142632E-1,8.290816844E-2,1.253368519E-2
6.264988917E0,4.509900212E-1,8.259172738E-2,1.109145209E-1
6.284904917E0,4.637349546E-1,1.430815309E-1,1.584123671E-1
6.304821917E0,3.177996278E-1,-2.675582841E-2,1.442427635E-1
6.324738917E0,1.612108648E-1,-2.580368817E-1,1.559186429E-1
6.344655917E0,1.166533455E-1,-3.731629252E-1,2.213848382E-1
6.364572917E0,1.093051583E-1,-3.485341668E-1,2.877822518E-1
6.384489917E0,7.727973163E-2,-1.700037271E-1,3.569793105E-1
