"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.406635459E0,1.071203500E-2,1.359338164E-1,1.447652131E-1
4.426552459E0,4.246374965E-2,9.782137722E-2,1.730449349E-1
4.446469459E0,1.268295944E-1,6.438319385E-2,2.154484391E-1
4.466386458E0,2.244170457E-1,2.670716867E-2,2.444215119E-1
4.486303458E0,2.547684312E-1,-5.661969073E-3,2.424848825E-1
4.506220459E0,2.039703578E-1,-5.731041729E-2,2.424602211E-1
4.526137459E0,1.020217091E-1,-1.871888489E-1,2.611331046E-1
4.546053458E0,5.176762119E-2,-3.789708614E-1,2.918863297E-1
4.565970459E0,1.051675528E-1,-5.758922696E-1,3.767029941E-1
4.585887459E0,1.955516934E-1,-6.459838152E-1,4.461504817E-1
4.605804459E0,2.407437861E-1,-6.441330314E-1,4.697082937E-1
4.625721458E0,2.853268087E-1,-5.575149059E-1,4.903253019E-1
4.645638458E0,3.576332033E-1,-4.210709333E-1,4.664355218E-1
4.665555459E0,3.876082599E-1,-2.696797848E-1,3.975563347E-1
4.685472459E0,3.395195603E-1,-1.116880253E-1,3.379499912E-1
4.705389459E0,2.372879535E-1,2.053107880E-2,3.414523602E-1
4.725306459E0,1.413940191E-1,8.199751377E-2,4.186927974E-1
4.745222542E0,5.736390129E-2,6.351013482E-2,4.784426689E-1
4.765139542E0,-7.974566892E-3,-5.303738639E-3,4.886067212E-1
4.785056542E0,-5.251187086E-2,-1.111104190E-1,4.769763052E-1
4.804973542E0,-5.899946019E-2,-2.142734677E-1,4.525376856E-1
4.824890542E0,-4.723917693E-2,-2.894786000E-1,3.935414851E-1
4.844807542E0,-4.045518115E-3,-2.719687819E-1,3.122630119E-1
4.864724542E0,5.232327804E-2,-1.538702846E-1,2.232680172E-1
4.884641542E0,5.625507608E-2,7.399084046E-3,1.096707433E-1
4.904557542E0,8.326641284E-3,1.588532478E-1,-2.857141569E-2
4.924474542E0,-2.535447478E-2,2.289393097E-1,-1.782483906E-1
4.944391542E0,-2.562317066E-2,2.425987720E-1,-3.289566636E-1
4.964308542E0,-1.174876187E-2,1.689666361E-1,-4.743740559E-1
4.984225542E0,7.992562838E-3,1.879575476E-2,-5.841348171E-1
5.004142542E0,2.613141201E-2,-1.408120245E-1,-6.389135718E-1
5.024059542E0,5.880026519E-2,-2.713419199E-1,-6.417815685E-1
5.043976542E0,5.608999357E-2,-3.446628451E-1,-6.043769717E-1
5.063893542E0,-1.729594544E-2,-4.183748066E-1,-5.882216692E-1
5.083810542E0,-1.567250788E-1,-5.394746065E-1,-6.121981144E-1
5.103726542E0,-2.392548621E-1,-5.838763714E-1,-5.798066258E-1
5.123643542E0,-1.835051179E-1,-5.182443857E-1,-4.679915309E-1
5.143560542E0,-1.109506860E-1,-4.070935249E-1,-3.801400959E-1
5.163477542E0,-3.675312549E-2,-3.544690609E-1,-3.401532769E-1
5.183394542E0,-5.266258866E-2,-3.810433149E-1,-3.700119555E-1
5.203311542E0,-1.392705292E-1,-3.949931860E-1,-4.329330027E-1
5.223228542E0,-1.287817657E-1,-2.803799808E-1,-4.790369868E-1
5.243145542E0,-9.584310651E-2,-1.290141493E-1,-5.434990525E-1
5.263062542E0,-1.351854205E-1,2.131128684E-3,-6.360470057E-1
5.282978542E0,-1.608698964E-1,1.241212785E-1,-6.867084503E-1
5.302895542E0,-1.129466444E-1,2.197269052E-1,-7.105418444E-1
5.322812542E0,-4.629418999E-2,2.469377369E-1,-7.419626117E-1
5.342729542E0,4.381168634E-3,2.266626507E-1,-7.760791779E-1
5.362646542E0,6.534939259E-2,2.304557115E-1,-7.859618068E-1
