"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.131870417E0,2.886597290E0,1.606609039E0,8.247249756E0
7.151787417E0,2.931952972E0,1.541494446E0,8.541537781E0
7.171703417E0,2.481539612E0,1.470242615E0,8.824299774E0
7.191620417E0,3.223396912E0,1.214125214E0,8.879834290E0
7.211537417E0,3.484603729E0,7.932005310E-1,9.120384064E0
7.231454417E0,3.310815125E0,6.548881531E-1,1.003258713E1
7.251371417E0,3.127895508E0,7.288343811E-1,1.096380066E1
7.271288417E0,3.077450409E0,6.381230164E-1,1.148022675E1
7.291205417E0,3.720064087E0,6.749464417E-1,1.190878555E1
7.311122417E0,4.317621460E0,4.824467468E-1,1.209110641E1
7.331039417E0,3.591331787E0,-1.210981750E-1,1.225441681E1
7.350955417E0,2.086660767E0,-7.673043823E-1,1.285646484E1
7.370872417E0,1.053808594E0,-1.103205872E0,1.374456802E1
7.390789417E0,2.785707092E-1,-1.015039215E0,1.315943481E1
7.410706417E0,1.601669312E-1,-1.167721710E0,1.198901871E1
7.430623417E0,2.860551453E-1,-1.275796967E0,1.089329727E1
7.450540417E0,5.792953491E-1,-1.074166260E0,9.905052338E0
7.470457417E0,9.111552429E-1,-5.530998230E-1,8.986262970E0
7.490374417E0,1.306632843E0,7.035369873E-3,8.128995667E0
7.510291417E0,1.476379852E0,5.318440247E-1,7.565567322E0
7.530207417E0,1.578617249E0,7.920030212E-1,7.172335052E0
7.550124417E0,1.631008301E0,7.090754700E-1,6.947652283E0
7.570041417E0,1.584604797E0,3.025209045E-1,7.083120575E0
7.589958417E0,1.740430756E0,1.962419128E-1,7.168742523E0
7.609875417E0,1.923799438E0,3.218307495E-2,7.578590240E0
7.629792417E0,1.880090332E0,-2.930905151E-1,8.296946411E0
7.649709417E0,1.689237213E0,-4.038601685E-1,8.502918091E0
7.669626417E0,1.966610413E0,-3.785627747E-1,8.862171021E0
7.689542417E0,2.552492065E0,-7.906558228E-1,9.374705200E0
7.709459417E0,3.316503296E0,-1.179846497E0,9.769284668E0
7.729376417E0,3.879033508E0,-1.100511475E0,9.717192993E0
7.749293917E0,3.843706970E0,-4.713697815E-1,9.703721008E0
7.769210917E0,3.711232452E0,1.339714050E-1,9.993518372E0
7.789127917E0,3.574716339E0,4.896318054E-1,1.014260834E1
7.809044917E0,3.166066132E0,7.337741089E-1,1.127635071E1
7.828961917E0,2.808759155E0,1.081650696E0,1.104777603E1
7.848878917E0,2.698887634E0,7.523355103E-1,1.105915237E1
7.868794917E0,2.913840637E0,3.516188049E-1,1.091096054E1
7.888711917E0,3.072360992E0,1.009201355E0,1.104059097E1
7.908628917E0,2.489473114E0,1.634002075E0,1.149669250E1
7.928545917E0,1.870360565E0,1.758094025E0,1.153127060E1
7.948462917E0,1.325942688E0,1.936972046E0,1.139235947E1
7.968379917E0,9.297166443E-1,2.146236877E0,1.130718658E1
7.988296917E0,9.018745422E-1,2.180964661E0,1.128338608E1
8.008213917E0,1.133592682E0,1.880389709E0,1.109822113E1
8.028130917E0,1.638941803E0,1.408570862E0,1.047686325E1
8.048046917E0,2.254162445E0,1.058149567E0,9.372459869E0
8.067963917E0,2.888393555E0,6.798861694E-1,8.158184967E0
8.087880917E0,3.394491119E0,2.713856506E-1,7.084467773E0
8.107797917E0,3.554208984E0,2.649490356E-2,6.620133362E0
8.127714917E0,3.398532715E0,3.742218018E-3,6.548582153E0
8.147631917E0,3.431015167E0,-1.974394226E-1,6.777456207E0
8.167548917E0,3.687731323E0,-2.386038208E-1,7.198979645E0
8.187465917E0,3.636388092E0,8.741821289E-2,7.220834198E0
8.207382917E0,3.532354431E0,6.700067139E-1,7.108118591E0
8.227299917E0,3.577410736E0,1.219064941E0,7.467820587E0
