"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.199155792E0,-8.283424683E2,7.576578979E2,-4.361054230E1
6.219072792E0,-8.281231689E2,7.567622681E2,-4.320740509E1
6.238989792E0,-8.285228271E2,7.561475830E2,-4.289529419E1
6.258906792E0,-8.275911865E2,7.551448364E2,-4.316223907E1
6.278823792E0,-8.277906494E2,7.548148804E2,-4.294992065E1
6.298740792E0,-8.271612549E2,7.538831787E2,-4.244327545E1
6.318657792E0,-8.271292725E2,7.531264038E2,-4.241376495E1
6.338574792E0,-8.266745605E2,7.530456543E2,-4.208432007E1
6.358490792E0,-8.261473999E2,7.518491821E2,-4.295019531E1
6.378407792E0,-8.250405273E2,7.512566528E2,-4.288808441E1
6.398324792E0,-8.242256470E2,7.500630493E2,-4.301292419E1
6.418241792E0,-8.238571777E2,7.494787598E2,-4.329537201E1
6.438158792E0,-8.230841064E2,7.487789917E2,-4.293568420E1
6.458075792E0,-8.228651123E2,7.480134888E2,-4.249539948E1
6.477992792E0,-8.221321411E2,7.474655762E2,-4.241929626E1
6.497909792E0,-8.216890869E2,7.471018677E2,-4.219067383E1
6.517825792E0,-8.213064575E2,7.464143066E2,-4.233975220E1
6.537742792E0,-8.214116821E2,7.459412842E2,-4.171064758E1
6.557659792E0,-8.217541504E2,7.462368774E2,-4.178759766E1
6.577576792E0,-8.218383179E2,7.464829712E2,-4.168024445E1
6.597493792E0,-8.214274902E2,7.461016235E2,-4.152069855E1
6.617410792E0,-8.216160889E2,7.464501343E2,-4.108766937E1
6.637327792E0,-8.220989380E2,7.468549805E2,-4.083097076E1
6.657244792E0,-8.223900146E2,7.466544189E2,-4.003887939E1
6.677161792E0,-8.222930908E2,7.468297729E2,-3.990415192E1
6.697077792E0,-8.227981567E2,7.467103882E2,-3.975390625E1
6.716994792E0,-8.233016968E2,7.467014771E2,-3.928895569E1
6.736911792E0,-8.235247192E2,7.467464600E2,-3.890074921E1
6.756828417E0,-8.227655029E2,7.468427734E2,-3.857130432E1
6.776745417E0,-8.229027710E2,7.466369019E2,-3.862429810E1
6.796662417E0,-8.225157471E2,7.463933105E2,-3.854001617E1
